prompt,image_path
"Make the TV look arrogant, looking down on the PS5. Add some stains, a sticker, and some silver duct tape to the PS5","images/TV.png"
"Turn this Joker into an exaggerated, eerie smile. Add the text ‘Why so serious’ in bold, cinematic style.","images/Joker.png"
"Can you Change to Make this image to Photo Realistic In HD quality","images/Jesus.png"
"Make the man in the picture look like the main character from Black Myth: Wukong","images/Samwukong.png"
"Transform this photo into a 3D clay-style illustration. Keep the same pose.","images/Clay.png"
"HELP ME REMOVE THE FUND AND LEAVE THE ING ALONE WITHOUT FUND ? ","images/signingremove.png"
"extract this bottle on a pure white background, commercial style","images/Bottle.png"
"Remove the background and replace it with a marathon finish line banner. Zoom out the camera so the full body of the woman is visible, keeping her realistic and detailed.","images/Marathon.png"
"Replace the Pepsi ad in the background with a Coca-Cola ad, and change the T-shirt text to LOVE","images/PepsiCola.png"
"Place this cameraman on the set of a big-budget commercial movie. The set should feature large camera cranes, dolly tracks, and lighting rigs. He is working as a handheld cameraman, capturing additional shots.","images/Cameraman.png"
"Replace the background with a cyberpunk night cityscape, neon lights, futuristic skyscrapers, glowing billboards. The McDonald’s delivery rider on the scooter remains realistic and detailed in the foreground","images/Delivery.png"
"Same pose, but lying on the beach","images/Couplestanding.png"
"let the man's clothes be the same as the woman's clothes with a blue color","images/Couplelying.png"
"Please change the main color of the image to light gray.","images/Tooth.png"
"Please change the poster’s style to look more like a realistic photo, but keep the text content the same.","images/PlanetB.png"
"把图中'大暑'的字体换成行楷字体，把'slight heat'换成衬线字体，并在图片下方的海浪上加上俯视视角的冲浪女孩。","images/summerposter.png"
"Replace the paper cup with a ceramic mug. Replace the text with ‘Start your day with coffee’ without changing the font.","images/coffeeposter.png"
"Replace the current bag photo with a futuristic laptop concept image featuring holographic projections. Change the title to ‘TECH HORIZONS’, update the subtitle to ‘Shaping Tomorrow’s Innovations’, and replace the date with ‘COMING SOON 2026’. Keep the overall clean magazine cover layout.","images/technews.png"
"Replace the fried eggs and bacon with a small dish of two soft-boiled eggs topped with soy sauce and pepper. Replace the pancakes with kaya toast slices filled with kaya jam and butter. Change the black coffee cup into a traditional white kopitiam cup with green floral patterns, and remove the sugar cubes. Replace the syrup pot with a small soy sauce bottle, and change the knife and fork into a spoon next to the eggs. Update the text at the bottom to read ‘GOOD MORNING, SINGAPORE!’ with a subtitle ‘Kaya Toast · Soft-boiled Eggs · Kopi’.","images/kaya.png"
"Add a YouTuber figure in the center of the podcast studio scene. Cinematic, high-contrast YouTube thumbnail edit.  making them the main focus. Slightly blur the background while keeping the microphones, headphones, and desk visible. Add bold title text on the right side saying ‘Starting a Podcast in 2025’, in large white and yellow letters with shadow. ","images/youtuber.png"
"Change the ‘for a better tomorrow’ part of the sign text to ‘To Save the Only Planet’ and add a globe illustration in front of the whole line.","images/saveplanet1.png"
"画像内のサインのテキスト「fight today for a better tomorrow」を、同じフォントスタイルの日本語に変更してください。内容は「今日戦い、明日のより良い未来のために」です。","images/saveplanet1.png"
"Replace the sign text in the image, "fight today for a better tomorrow," with the Japanese text "今日戦い、明日のより良い未来のために" in the same font style.","images/saveplanet1.png"
"把图中的长沙两个字换成重庆，保持相同的字体和风格","images/changsha.png"
"zoom in on the bird. ultra sharp details of the bird. professional photography","images/birdzoomin.png"
"Zoom in on the sunglasses to enhance the city skyline reflection. professional photography","images/glasszoomin.png"
"Use this image to create a stylish magazine cover. Add the word ‘Akira’ at the top, and the words ‘Best Young Contributor’ at the bottom. The two men should be positioned behind the ‘Best Young Contributor’ text. Keep the people exactly the same as in the original image, but replace the background with a solid high-end Morandi color.","images/Akira.png"
"Remove the text and turn it into a VOGUE magazine cover. Add bold cover lines such as ‘THE NEW ELEGANCE’ and ‘FASHION ICONS 2025’ along the sides, and place a barcode with issue number and price at the left bottom corner.","images/Vogue.png"
"Turn the girl in this picture into a cute little desk ornament, and hang it on the stand of a desk lamp in the upper left corner of my desk as decoration.","images/luckyinred.png"
"Make the girl in the picture into a 3D figurine and place it on my desk.","images/3Dfigurine.png"
"Replace the mountain bike with a Honda CRF Enduro Motorcycle","images/Hondabike.png"
"Replace the black square glasses with thin metal round glasses, change his sweatshirt to a white shirt, and make him face forward","images/metalglass.png"
"Change the girl’s hair to a brown wool shawl hairstyle.","images/leahDou.png"
"Add a bang for this guy","images/Baldstrong.png"
"remove the bangs of this girl but make sure she’s elegant","images/Lalisa.png"
"Replace the cats with each other","images/catsreplace.png"
"obtain the back view","images/doctorwhite.png"
"obtain the front view","images/girlingreen.png"
"Replace the shoes in the sketch with a real e-commerce product main image","images/sneakersketch.png"
"Have a male model wear these shoes","images/sneaker.png"
"Sharpen the details and colorize the photo with natural tones.","images/shanghai.png"
"Colorize the black and white portrait, giving the boy natural skin tones, a blue shirt, and a soft gradient background in desert.","images/blackboy.png"
